Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
9508,CA-2014-149104,4/5/2014,4/7/2014,Second Class,RD-19900,Ruben Dartt,Consumer,United States,Dearborn Heights,Michigan,48127,Central,OFF-BI-10004209,Office Supplies,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",44.22,6,0.0,18.9945
9509,CA-2014-149104,4/5/2014,4/7/2014,Second Class,RD-19900,Ruben Dartt,Consumer,United States,Dearborn Heights,Michigan,48127,Central,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",15.28,4,0.0,4.8129
9510,CA-2014-149104,4/5/2014,4/7/2014,Second Class,RD-19900,Ruben Dartt,Consumer,United States,Dearborn Heights,Michigan,48127,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,758.8,7,0.0,21.7293
9511,CA-2016-105263,8/6/2016,8/11/2016,Standard Class,LM-17065,Liz MacKendrick,Consumer,United States,New York City,New York,10024,East,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",42.17,10,0.0,16.5054
9512,CA-2014-130575,12/14/2014,12/16/2014,First Class,CS-11845,Cari Sayre,Corporate,United States,Chicago,Illinois,60623,Central,OFF-BI-10002353,Office Supplies,Binders,GBC VeloBind Cover Sets,10.19,4,0.8,-14.5908
9513,CA-2017-142461,5/30/2017,6/3/2017,Second Class,KT-16480,Kean Thornton,Consumer,United States,Dallas,Texas,75217,Central,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",225.13,2,0.32,-6.3206
9514,CA-2016-125220,10/14/2016,10/19/2016,Standard Class,BE-11410,Bobby Elias,Consumer,United States,Appleton,Wisconsin,54915,Central,TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,1814.73,6,0.0,571.6384
9515,CA-2014-100293,3/14/2014,3/18/2014,Standard Class,NF-18475,Neil Französisch,Home Office,United States,Jacksonville,Florida,32216,South,OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,100.16,7,0.2,33.4631
9516,CA-2014-154165,2/17/2014,2/24/2014,Standard Class,DL-13315,Delfina Latchford,Consumer,United States,Chicago,Illinois,60653,Central,OFF-AR-10003631,Office Supplies,Art,Staples in misc. colors,59.63,14,0.2,9.2492
9517,CA-2015-123939,8/24/2015,8/26/2015,Second Class,MS-17710,Maurice Satty,Consumer,United States,Bowling Green,Ohio,43402,East,TEC-PH-10000923,Technology,Phones,"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",29.68,4,0.4,4.2497
9518,CA-2015-123939,8/24/2015,8/26/2015,Second Class,MS-17710,Maurice Satty,Consumer,United States,Bowling Green,Ohio,43402,East,OFF-LA-10003190,Office Supplies,Labels,Avery 474,7.6,4,0.2,2.6309
9519,CA-2015-123939,8/24/2015,8/26/2015,Second Class,MS-17710,Maurice Satty,Consumer,United States,Bowling Green,Ohio,43402,East,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,479.05,4,0.2,51.4439
9520,US-2017-104451,5/8/2017,5/12/2017,Second Class,MM-18055,Michelle Moray,Consumer,United States,San Francisco,California,94110,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,89.19,5,0.0,23.8375
9521,CA-2016-101189,2/4/2016,2/9/2016,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving,102.32,3,0.0,3.9068
9522,CA-2014-169446,12/19/2014,12/25/2014,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,Chicago,Illinois,60623,Central,TEC-PH-10002817,Technology,Phones,RCA ViSYS 25425RE1 Corded phone,356.37,4,0.2,38.2697
9523,CA-2014-169446,12/19/2014,12/25/2014,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,Chicago,Illinois,60623,Central,OFF-PA-10000295,Office Supplies,Paper,Xerox 229,17.11,4,0.2,5.7154
9524,CA-2014-169446,12/19/2014,12/25/2014,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,Chicago,Illinois,60623,Central,OFF-ST-10000419,Office Supplies,Storage,"Rogers Jumbo File, Granite",35.85,4,0.2,-8.1276
9525,CA-2017-156958,12/5/2017,12/6/2017,First Class,PB-18805,Patrick Bzostek,Home Office,United States,Seattle,Washington,98115,West,OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,92.31,6,0.2,30.8406
9526,CA-2017-156958,12/5/2017,12/6/2017,First Class,PB-18805,Patrick Bzostek,Home Office,United States,Seattle,Washington,98115,West,FUR-FU-10003268,Furniture,Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,219.89,6,0.0,41.979
9527,CA-2017-156958,12/5/2017,12/6/2017,First Class,PB-18805,Patrick Bzostek,Home Office,United States,Seattle,Washington,98115,West,TEC-PH-10000148,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,34.29,4,0.2,-7.3653
9528,CA-2017-156958,12/5/2017,12/6/2017,First Class,PB-18805,Patrick Bzostek,Home Office,United States,Seattle,Washington,98115,West,OFF-BI-10001543,Office Supplies,Binders,GBC VeloBinder Manual Binding System,190.03,7,0.2,63.4864
9529,CA-2017-156958,12/5/2017,12/6/2017,First Class,PB-18805,Patrick Bzostek,Home Office,United States,Seattle,Washington,98115,West,OFF-BI-10002071,Office Supplies,Binders,Fellowes Black Plastic Comb Bindings,10.23,3,0.2,3.1723
9530,CA-2017-101637,3/24/2017,3/25/2017,Same Day,AC-10615,Ann Chong,Corporate,United States,Beaumont,Texas,77705,Central,OFF-ST-10002352,Office Supplies,Storage,Iris Project Case,14.04,3,0.2,1.0055
9531,CA-2017-111759,7/8/2017,7/12/2017,Standard Class,MR-17545,Mathew Reese,Home Office,United States,Seattle,Washington,98103,West,OFF-PA-10003127,Office Supplies,Paper,Easy-staple paper,58.04,3,0.0,25.4831
9532,CA-2017-102729,10/26/2017,10/31/2017,Standard Class,BF-11215,Benjamin Farhat,Home Office,United States,Dallas,Texas,75217,Central,OFF-ST-10000464,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",61.18,3,0.2,5.8397
9533,CA-2016-116596,10/27/2016,10/31/2016,Standard Class,BW-11200,Ben Wallace,Consumer,United States,New York City,New York,10011,East,FUR-CH-10000553,Furniture,Chairs,"Metal Folding Chairs, Beige, 4/Carton",470.41,14,0.1,84.8161
9534,CA-2016-116596,10/27/2016,10/31/2016,Standard Class,BW-11200,Ben Wallace,Consumer,United States,New York City,New York,10011,East,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",44.74,8,0.0,13.2381
9535,CA-2016-116596,10/27/2016,10/31/2016,Standard Class,BW-11200,Ben Wallace,Consumer,United States,New York City,New York,10011,East,OFF-ST-10000636,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,36.83,3,0.0,1.4062
9536,CA-2016-116596,10/27/2016,10/31/2016,Standard Class,BW-11200,Ben Wallace,Consumer,United States,New York City,New York,10011,East,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,10.7,3,0.2,3.4474
9537,CA-2017-124191,6/12/2017,6/14/2017,Second Class,TS-21610,Troy Staebel,Consumer,United States,Chicago,Illinois,60610,Central,FUR-FU-10002364,Furniture,Furnishings,"Eldon Expressions Wood Desk Accessories, Oak",9.74,4,0.6,-7.2066
9538,CA-2016-148747,9/25/2016,9/27/2016,First Class,AS-10045,Aaron Smayling,Corporate,United States,San Francisco,California,94110,West,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",525.43,3,0.15,88.5087
9539,US-2017-169488,9/7/2017,9/9/2017,First Class,AA-10375,Allen Armold,Consumer,United States,Providence,Rhode Island,2908,East,OFF-PA-10002659,Office Supplies,Paper,Avoid Verbal Orders Carbonless Minifold Book,18.59,6,0.0,8.1627
9540,US-2017-169488,9/7/2017,9/9/2017,First Class,AA-10375,Allen Armold,Consumer,United States,Providence,Rhode Island,2908,East,OFF-PA-10000157,Office Supplies,Paper,Xerox 191,43.96,3,0.0,19.7203
9541,CA-2015-135727,5/11/2015,5/16/2015,Second Class,PS-18970,Paul Stevenson,Home Office,United States,Phoenix,Arizona,85023,West,FUR-CH-10004540,Furniture,Chairs,Global Chrome Stack Chair,211.16,8,0.2,17.6371
9542,CA-2015-135251,8/6/2015,8/10/2015,Standard Class,RP-19270,Rachel Payne,Corporate,United States,Houston,Texas,77095,Central,OFF-LA-10004544,Office Supplies,Labels,Avery 505,39.07,4,0.2,13.986
9543,CA-2015-135251,8/6/2015,8/10/2015,Standard Class,RP-19270,Rachel Payne,Corporate,United States,Houston,Texas,77095,Central,OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,6.85,6,0.8,-10.1393
9544,CA-2015-135251,8/6/2015,8/10/2015,Standard Class,RP-19270,Rachel Payne,Corporate,United States,Houston,Texas,77095,Central,OFF-PA-10003302,Office Supplies,Paper,Xerox 1906,62.37,3,0.2,20.0945
9545,CA-2015-135251,8/6/2015,8/10/2015,Standard Class,RP-19270,Rachel Payne,Corporate,United States,Houston,Texas,77095,Central,FUR-BO-10003965,Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,406.12,4,0.32,-119.7183
9546,CA-2014-166590,10/29/2014,11/2/2014,Standard Class,NC-18625,Noah Childs,Corporate,United States,Columbus,Indiana,47201,Central,TEC-AC-10003433,Technology,Accessories,Maxell 4.7GB DVD+R 5/Pack,2.18,3,0.0,0.9356
9547,CA-2014-166590,10/29/2014,11/2/2014,Standard Class,NC-18625,Noah Childs,Corporate,United States,Columbus,Indiana,47201,Central,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",83.47,3,0.0,37.4468
9548,CA-2016-131744,6/18/2016,6/20/2016,Second Class,SC-20770,Stewart Carmichael,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-PA-10004610,Office Supplies,Paper,Xerox 1900,7.53,3,0.2,2.247
9549,CA-2016-131744,6/18/2016,6/20/2016,Second Class,SC-20770,Stewart Carmichael,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,5.09,3,0.7,-4.0477
9550,CA-2016-131744,6/18/2016,6/20/2016,Second Class,SC-20770,Stewart Carmichael,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-AP-10001394,Office Supplies,Appliances,Harmony Air Purifier,498.96,4,0.2,95.256
9551,CA-2015-160864,5/3/2015,5/6/2015,First Class,NF-18595,Nicole Fjeld,Home Office,United States,San Jose,California,95123,West,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,15.23,4,0.2,5.4527
9552,CA-2015-147690,11/10/2015,11/14/2015,Standard Class,SC-20020,Sam Craven,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-ST-10001526,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart ,635.34,7,0.2,45.4847
9553,CA-2015-163923,5/30/2015,6/3/2015,Standard Class,BD-11560,Brendan Dodson,Home Office,United States,Springfield,Virginia,22153,South,TEC-AC-10000358,Technology,Accessories,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,167.16,5,0.0,38.2939
9554,CA-2016-125724,9/22/2016,9/27/2016,Standard Class,SM-20950,Suzanne McNair,Corporate,United States,Broomfield,Colorado,80020,West,FUR-FU-10000246,Furniture,Furnishings,Aluminum Document Frame,75.28,8,0.2,8.9817
9555,CA-2015-111612,11/28/2015,12/2/2015,Standard Class,EB-14110,Eugene Barchas,Consumer,United States,Columbus,Ohio,43229,East,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",78.23,6,0.2,10.268
9556,CA-2015-111612,11/28/2015,12/2/2015,Standard Class,EB-14110,Eugene Barchas,Consumer,United States,Columbus,Ohio,43229,East,OFF-FA-10003021,Office Supplies,Fasteners,Staples,3.31,3,0.2,0.5922
9557,CA-2015-156853,12/3/2015,12/5/2015,Second Class,HP-14815,Harold Pawlan,Home Office,United States,Concord,New Hampshire,3301,East,OFF-PA-10003656,Office Supplies,Paper,Xerox 1935,203.13,8,0.0,89.1908
9558,CA-2014-103086,10/17/2014,10/19/2014,Second Class,EB-14170,Evan Bailliet,Consumer,United States,Houston,Texas,77095,Central,FUR-FU-10004586,Furniture,Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,5.84,3,0.6,-1.6733
9559,CA-2016-129280,5/3/2016,5/5/2016,First Class,SM-20905,Susan MacKendrick,Consumer,United States,Newark,Ohio,43055,East,TEC-AC-10003832,Technology,Accessories,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,145.77,6,0.2,36.5258
9560,CA-2016-129280,5/3/2016,5/5/2016,First Class,SM-20905,Susan MacKendrick,Consumer,United States,Newark,Ohio,43055,East,OFF-ST-10002554,Office Supplies,Storage,Tennsco Industrial Shelving,215.2,6,0.2,-46.2199
9561,CA-2016-129280,5/3/2016,5/5/2016,First Class,SM-20905,Susan MacKendrick,Consumer,United States,Newark,Ohio,43055,East,FUR-FU-10001876,Furniture,Furnishings,"Computer Room Manger, 14""",57.16,3,0.2,10.9133
9562,CA-2016-129280,5/3/2016,5/5/2016,First Class,SM-20905,Susan MacKendrick,Consumer,United States,Newark,Ohio,43055,East,TEC-AC-10002637,Technology,Accessories,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),475.17,4,0.2,-79.3756
9563,CA-2016-129280,5/3/2016,5/5/2016,First Class,SM-20905,Susan MacKendrick,Consumer,United States,Newark,Ohio,43055,East,TEC-MA-10003589,Technology,Machines,Cisco 8961 IP Phone Charcoal,247.43,4,0.7,-173.2015
9564,CA-2016-129280,5/3/2016,5/5/2016,First Class,SM-20905,Susan MacKendrick,Consumer,United States,Newark,Ohio,43055,East,OFF-LA-10000081,Office Supplies,Labels,Avery 496,6.6,3,0.2,2.205
9565,CA-2015-161242,6/1/2015,6/8/2015,Standard Class,CG-12040,Catherine Glotzbach,Home Office,United States,Los Angeles,California,90045,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",12.94,3,0.0,6.0505
9566,CA-2014-130428,3/31/2014,3/31/2014,Same Day,TG-21640,Trudy Glocke,Consumer,United States,Tampa,Florida,33614,South,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",1238.04,8,0.2,103.4042
9567,CA-2014-130428,3/31/2014,3/31/2014,Same Day,TG-21640,Trudy Glocke,Consumer,United States,Tampa,Florida,33614,South,OFF-BI-10001636,Office Supplies,Binders,Ibico Plastic and Wire Spiral Binding Combs,13.91,6,0.7,-10.6218
9568,CA-2014-130428,3/31/2014,3/31/2014,Same Day,TG-21640,Trudy Glocke,Consumer,United States,Tampa,Florida,33614,South,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",4.44,3,0.2,1.1113
9569,CA-2017-104388,7/5/2017,7/7/2017,First Class,DK-12835,Damala Kotsonis,Corporate,United States,Fremont,Nebraska,68025,Central,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,87.96,5,0.0,23.5082
9570,CA-2015-113131,9/24/2015,9/24/2015,Same Day,MB-17305,Maria Bertelson,Consumer,United States,Columbus,Ohio,43229,East,OFF-BI-10003196,Office Supplies,Binders,Accohide Poly Flexible Ring Binders,7.41,7,0.7,-4.7124
9571,CA-2015-113131,9/24/2015,9/24/2015,Same Day,MB-17305,Maria Bertelson,Consumer,United States,Columbus,Ohio,43229,East,OFF-ST-10001172,Office Supplies,Storage,"Tennsco Lockers, Sand",36.92,3,0.2,1.7623
9572,CA-2015-113131,9/24/2015,9/24/2015,Same Day,MB-17305,Maria Bertelson,Consumer,United States,Columbus,Ohio,43229,East,OFF-EN-10003068,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,17.42,3,0.2,5.8212
9573,CA-2015-113131,9/24/2015,9/24/2015,Same Day,MB-17305,Maria Bertelson,Consumer,United States,Columbus,Ohio,43229,East,OFF-LA-10003510,Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",26.87,2,0.2,8.3347
9574,CA-2015-113131,9/24/2015,9/24/2015,Same Day,MB-17305,Maria Bertelson,Consumer,United States,Columbus,Ohio,43229,East,OFF-AR-10003504,Office Supplies,Art,Newell 347,18.83,6,0.2,2.0223
9575,CA-2015-148495,8/13/2015,8/13/2015,Same Day,SF-20065,Sandra Flanagan,Consumer,United States,Pomona,California,91767,West,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,34.72,4,0.0,10.9355
9576,CA-2015-143147,5/26/2015,5/28/2015,Second Class,PS-18760,Pamela Stobb,Consumer,United States,San Antonio,Texas,78207,Central,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,116.25,2,0.3,-30.1205
9577,CA-2015-143147,5/26/2015,5/28/2015,Second Class,PS-18760,Pamela Stobb,Consumer,United States,San Antonio,Texas,78207,Central,TEC-MA-10004679,Technology,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,439.49,3,0.4,-83.9034
9578,CA-2015-143147,5/26/2015,5/28/2015,Second Class,PS-18760,Pamela Stobb,Consumer,United States,San Antonio,Texas,78207,Central,FUR-CH-10004754,Furniture,Chairs,"Global Stack Chair with Arms, Black",115.42,6,0.3,-4.7218
9579,CA-2017-152975,9/14/2017,9/16/2017,First Class,RB-19705,Roger Barcio,Home Office,United States,New York City,New York,10035,East,TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,1187.84,4,0.0,340.1528
9580,CA-2017-152975,9/14/2017,9/16/2017,First Class,RB-19705,Roger Barcio,Home Office,United States,New York City,New York,10035,East,OFF-ST-10001370,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,78.08,2,0.0,3.7265
9581,CA-2017-152975,9/14/2017,9/16/2017,First Class,RB-19705,Roger Barcio,Home Office,United States,New York City,New York,10035,East,OFF-AR-10001988,Office Supplies,Art,Bulldog Table or Wall-Mount Pencil Sharpener,32.95,6,0.0,9.1198
9582,CA-2017-152975,9/14/2017,9/16/2017,First Class,RB-19705,Roger Barcio,Home Office,United States,New York City,New York,10035,East,FUR-CH-10003298,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",648.35,6,0.1,-6.8765
9583,CA-2016-107475,6/7/2016,6/11/2016,Standard Class,RS-19870,Roy Skaria,Home Office,United States,Philadelphia,Pennsylvania,19120,East,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,10.61,7,0.2,3.6723
9584,CA-2017-116127,6/25/2017,6/27/2017,Second Class,SB-20185,Sarah Brown,Consumer,United States,New York City,New York,10024,East,FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,440.86,2,0.2,-5.2603
9585,CA-2017-132584,8/26/2017,8/27/2017,First Class,HJ-14875,Heather Jas,Home Office,United States,Detroit,Michigan,48234,Central,OFF-ST-10000344,Office Supplies,Storage,"Neat Ideas Personal Hanging Folder Files, Black",59.09,5,0.0,14.6656
9586,CA-2016-160598,8/26/2016,8/28/2016,First Class,SV-20815,Stuart Van,Corporate,United States,Miami,Florida,33142,South,OFF-PA-10002319,Office Supplies,Paper,Xerox 1944,34.11,2,0.2,11.8024
9587,CA-2016-108630,11/18/2016,11/18/2016,Same Day,BE-11410,Bobby Elias,Consumer,United States,Concord,California,94521,West,OFF-BI-10002437,Office Supplies,Binders,Recycled Premium Regency Composition Covers,67.23,6,0.2,23.2638
9588,US-2017-129203,4/17/2017,4/22/2017,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Chicago,Illinois,60653,Central,OFF-ST-10001418,Office Supplies,Storage,Carina Media Storage Towers in Natural & Black,214.65,5,0.2,-46.1009
9589,CA-2017-110940,7/23/2017,7/28/2017,Standard Class,AZ-10750,Annie Zypern,Consumer,United States,Wheeling,Illinois,60090,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",133.69,5,0.2,15.9516
9590,CA-2014-119172,5/11/2014,5/15/2014,Standard Class,HD-14785,Harold Dahlen,Home Office,United States,Chicago,Illinois,60610,Central,OFF-PA-10003036,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",19.22,4,0.2,5.9623
9591,CA-2014-119172,5/11/2014,5/15/2014,Standard Class,HD-14785,Harold Dahlen,Home Office,United States,Chicago,Illinois,60610,Central,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,115.04,10,0.8,-181.1848
9592,US-2016-105452,7/28/2016,8/1/2016,Standard Class,BF-11005,Barry Franz,Home Office,United States,Pasadena,Texas,77506,Central,FUR-FU-10003691,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony",27.17,6,0.6,-10.374
9593,US-2016-105452,7/28/2016,8/1/2016,Standard Class,BF-11005,Barry Franz,Home Office,United States,Pasadena,Texas,77506,Central,FUR-FU-10003806,Furniture,Furnishings,"Tenex Chairmat w/ Average Lip, 45"" x 53""",332.99,6,0.6,-397.32
9594,CA-2017-108931,9/14/2017,9/19/2017,Standard Class,HZ-14950,Henia Zydlo,Consumer,United States,New York City,New York,10024,East,OFF-PA-10002741,Office Supplies,Paper,Xerox 1980,9.42,3,0.0,4.0446
9595,CA-2017-108931,9/14/2017,9/19/2017,Standard Class,HZ-14950,Henia Zydlo,Consumer,United States,New York City,New York,10024,East,OFF-PA-10003845,Office Supplies,Paper,Xerox 1987,12.72,3,0.0,5.9476
9596,CA-2017-104619,1/24/2017,1/29/2017,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,San Jose,California,95123,West,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",28.45,4,0.0,7.0598
9597,CA-2017-104619,1/24/2017,1/29/2017,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,San Jose,California,95123,West,OFF-BI-10004318,Office Supplies,Binders,Ibico EB-19 Dual Function Manual Binding System,304.46,3,0.2,94.4525
9598,CA-2017-104619,1/24/2017,1/29/2017,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,San Jose,California,95123,West,TEC-PH-10000193,Technology,Phones,Jensen SMPS-640 - speaker phone,121.39,4,0.2,8.6902
9599,CA-2015-149517,9/19/2015,9/23/2015,Standard Class,FC-14245,Frank Carlisle,Home Office,United States,Sacramento,California,95823,West,FUR-FU-10003464,Furniture,Furnishings,"Seth Thomas 8 1/2"" Cubicle Clock",66.92,4,0.0,20.4422
9600,CA-2015-116841,4/14/2015,4/18/2015,Standard Class,TP-21130,Theone Pippenger,Consumer,United States,Springfield,Oregon,97477,West,OFF-AP-10002403,Office Supplies,Appliances,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,38.73,2,0.2,2.7726
9601,CA-2017-107797,5/8/2017,5/11/2017,Second Class,EB-13705,Ed Braxton,Corporate,United States,Mansfield,Texas,76063,Central,OFF-PA-10003848,Office Supplies,Paper,Xerox 1997,45.62,9,0.2,15.241
9602,CA-2016-117604,9/4/2016,9/9/2016,Standard Class,JP-15520,Jeremy Pistek,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-PA-10001357,Office Supplies,Paper,Xerox 1886,263.45,6,0.0,120.708
9603,CA-2014-130155,5/19/2014,5/22/2014,First Class,TD-20995,Tamara Dahlen,Consumer,United States,Virginia Beach,Virginia,23464,South,OFF-SU-10004737,Office Supplies,Supplies,Acme Design Stainless Steel Bent Scissors,37.62,6,0.0,9.6957
